,likes,replies,retweets,text,timestamp,user
0,1,2,1,Nanga #DateMyFamilyZambia ?,2018-02-08 18:00:38,maluba96
1,1,1,0,Lelo am watching #DateMyFamilyZambia this finale better impress me,2018-02-08 15:09:16,evey_phiri
2,0,0,1,#DateMyFamilyZambia season finale is on Sunday not today!  But tonight is the premiere of #OPWZed season 2 at 21 hours!https://twitter.com/zambezimagictv/status/961260226342158336 …,2018-02-08 12:37:01,Media365Zambia
3,3,0,0,Watching my Zambian tv shows feels weird sometimes coz I never knew we had accents  like do I talk like that? #Cityonfire #DateMyFamilyZambia #Zuba,2018-02-08 6:47:27,Moono16589594
4,1,0,0,Taffy is full of himself please .... morally bend ... #DateMyFamilyZambia,2018-02-07 16:27:57,sheba_rayabi
5,1,0,2,I sent Kylie Jenner's new baby a onesie that says "My Grandma Used to Have a Penis". #KylieJenner #kylie #wtf #newbaby #CongratsKylie #kyliejennerbaby #Kardashian #DateMyFamilyZambia,2018-02-07 3:14:25,TheDeskChicken
6,0,0,0,Or is she just boring... #DateMyFamilyZambia,2018-02-06 12:58:13,malambosakala
7,2,0,2,"""In this generation, everyone got kids...""

RT if you don't have a kid
#DateMyFamilyZambia pic.twitter.com/41AZssfORN",2018-02-06 11:07:18,Shwinie
8,1,0,0,Hmmmm taffy was just rude please #DateMyFamilyZambia,2018-02-06 9:43:20,mis_kapxy
9,17,1,13,Its @TrippyHippyZM in the building. @TaffyBadboyt even told us about his #DateMyFamilyZambia experience. pic.twitter.com/lB37kfsyON,2018-02-06 8:40:51,OneZM_SportsHub
10,0,0,0,"Who in Zambia is #Zuba?
#DateMyFamilyZambia",2018-02-06 7:20:27,TrysenNkhata
11,4,0,1,"#DatemyfamilyZambia 
More like arranged marriages muleishiba utuntu 
History repeats itself in a different way",2018-02-06 6:24:03,peter_Kinpin_
12,5,0,0,#greekcup #SixInvitational #GoBeach #GoldenHobiDay #GodsWord #GodsPlanChallenge #numismatics #DataScience #DateMyFamilyZambia #DunkContest #DAYTONA500 #WavesPlatform #WaveformGaming #relationships #ICO #TheChampionships #AllianzLeagues #librarians #Libras #love #LAKings #zzz #zzphttps://twitter.com/numerologyquote/status/965173066421751808 … – at Jet Propulsion Laboratory,2018-02-18 18:58:10,KidnapDaKingpin
13,1,0,0,Am I the only Zambian who's never seen #DateMyFamilyZambia ? I just see posts about it,2018-02-18 15:45:58,Gracious_Mwaba
14,1,0,0,Thats your nephew?!loved him on #DateMyFamilyZambia #savage,2018-02-16 21:35:01,RealIzrael
15,1,0,0,Chichi  #DateMyFamilyZambia,2018-02-16 20:43:24,tisscake
16,1,0,0,"This is a waste of resources, #vina is rubbish.. take down that show and give us something sensible.. better you even bring back #DateMyFamilyZambia  vina aweh mwe.. https://twitter.com/zambezimagictv/status/964431365113495553 …",2018-02-16 11:45:37,kum_pum
17,2,0,0,"The Zambian version of #DateMyFamily is more of a date my friends.
#DateMyFamilyZambia",2018-02-15 20:20:25,goldwynz
18,3,0,0,I finally watched the last episode of #DateMyFamilyZambia  love ,2018-02-15 10:18:37,mpumbzzile
19,2,1,0,appy grape #DateMyFamilyZambia . It worked. I'm sold pic.twitter.com/344GzNxF77,2018-02-15 8:53:29,deby_kh
20,0,0,0,I really love #DateMyFamilyZambia like EVERYTHING about it ,2018-01-03 18:18:55,missmweshi
21,0,0,0,This week's #DateMyFamilyZambia looks like it will be a level above the previous ones. Just seen the clip for it.,2018-01-03 17:39:23,King_MJC_1
22,1,0,1,This was so fun to shoot! Can’t wait! #DateMyFamilyZambia https://twitter.com/missnyambe/status/948532914945515520 …,2018-01-03 17:12:51,monde88
23,0,0,0,"Catching up on #DateMyFamilyZambia 
Episode 7. Mmmmm pic.twitter.com/IHRMYDhla2",2018-01-03 14:25:38,tkzndhlovu
24,144,8,42,I'm one of the bachelorettes on tomorrow's #DateMyFamilyZambia episode. Don't forget to watch!  #BeingMissNyambe,2018-01-03 12:34:04,MissNyambe
25,2,1,0,OMG!  @monde88 #DateMyFamilyZambia https://twitter.com/zambezimagictv/status/948456144942616576 …,2018-01-03 7:45:38,MissNyambe
26,0,0,0,My definition for fun is that "I run away". Kkkkkk #Datemyfamilyzambia,2018-01-01 13:33:30,tendewilliams
27,0,0,0,"Am wondering too, and what's with this word kanshi?. (Bubbly)#DateMyFamilyZambia",2018-01-01 13:31:25,tendewilliams
28,1,0,0,Not having a Tele sucks. I miss bonding over #DateMyFamilyZambia with people. Athough its staged. ,2018-01-30 19:15:13,NkulunkuluUqobo
29,1,0,0,The homie @TaffyBadboyt just straight up told the lady that there was no salt in the food  #DateMyFamilyZambia,2018-01-30 16:15:39,TheeChromez
