,likes,replies,text,timestamp,user
0,2,0,"Something fresh,something new..make a date!!.. 8th February #tizibika https://fb.me/1nG4BYabm ",2018-01-27 8:32:18,Ericmuleproduct
1,9,0,Story izibika #tizibika #ZambeziMagic . 8th Februarypic.twitter.com/Q5gjYZcBx6,2018-01-26 18:09:11,tozy_b
2,11,0,"My only word is ""Watch""
#Tizibika pic.twitter.com/iNm4qXk5cc",2018-01-26 15:41:04,Darren_Kirec21
3,1,0,Are you ready for this? #Tizibika https://fb.me/11bLD490Q ,2018-01-26 12:45:05,GudiiPyne
4,2,0,Umuntu kwishibikwa #Tizibika #ZMTizibikapic.twitter.com/n7WVUCIH4y,2018-01-26 12:13:54,kash_talks
5,2,0,With #Tizibika,2018-01-25 23:42:05,Dollmulenga
6,2,0,"#Tizibika 
I can’t wait!!!
 #DateMyFamilyZambia",2018-01-25 18:13:43,chucky_beau
7,3,2,"Fam please like our #Tizibika fan pages on Facebook. Please RT as well.  @jeSuis_Amy Characters page
https://m.facebook.com/Wezi-Tizibika-251903375346888/ …",2018-01-25 4:49:37,arushapot
8,1,0,#Tizibika pic.twitter.com/Gz8JOk9Xkg,2018-01-24 22:01:32,tozy_b
9,4,0,Counting down! #Tizibika https://twitter.com/KatongoChiluba/status/955376670374023168 …,2018-01-22 13:00:48,Nobutu1
10,3,1,#Salute my talent/acting agent @chembomusic ... God's favorite is in both these joints #Fever #Tizibika https://twitter.com/chembomusic/status/960617280517353472 …,2018-02-05 21:10:46,ZambiazHarshTag
11,20,0,"BTW, #Fever starts tomorrow! I never got to see season one. Gonna be watching all Zambian shows this year. Also #tizibika on the 8th!! #Zambia the more the merrier. ",2018-02-05 20:53:01,chembomusic
12,1,0,"Slay queening reloaded,3 more days,Dstv Channel 160. #zmtizibika #tizibika #zambezimagic #dstv… https://www.instagram.com/p/Be0PHQtgU4q/ ",2018-02-05 13:10:42,Ericmuleproduct
13,5,1,#tizibika 8th February at 22hrs on @zambezimagictvpic.twitter.com/YtTqHORj7d,2018-02-05 7:33:04,ItatiDzekedzeke
14,15,0,#tizibika pic.twitter.com/YStEqqRkq6,2018-02-05 5:55:20,tozy_b
15,5,0,8th February at 22hrs on @zambezimagictv #tizibika pic.twitter.com/iAkUpYJo5x,2018-02-04 6:33:31,tozy_b
16,1,0,#tizibika do not miss it only on zambezi magic channel 160. 22:00 on the 8th February,2018-02-03 11:24:28,Dollmulenga
17,2,0,Been working on a project for #zambezimagic and the D-day is near!!!..am excited #tizibika… https://www.instagram.com/p/BeLOPmSARcF/ ,2018-01-21 20:41:56,Ericmuleproduct
18,9,0,#Tizibika...... dont miss it!! pic.twitter.com/Mll0LOJfEh,2018-01-21 11:14:11,kathlyn_47
19,7,0,Look out for appearances by your favourite celebrities . #Tizibika .  Don't  forget 8th Feb 22:00 hours. pic.twitter.com/Wtb0dbjRPD,2018-01-21 10:52:24,arushapot
20,6,1,Then @KatongoChiluba and @jeSuis_Amy are the two main actress of The show #Tizibika,2018-01-21 10:48:58,arushapot
21,7,1,"Makeup was by @@kathlyn_47  , who by the way did the makeup on my dp .  #Tizibika",2018-01-21 10:47:29,arushapot
22,12,1,"#Tizibika was created and written  by @tozy_b , @Mister_Entitled gets special mention here too ",2018-01-21 10:44:30,arushapot
23,33,2,"Well its finally here, set to air on The 8th of Feb on @zambezimagictv, its #Tizibika . Co Directed by yours truly.  #Divadiarys cc @tozy_bpic.twitter.com/EAGXc2HzMJ",2018-01-21 10:40:16,arushapot
24,6,1,"Tune in to Zambezi magic on 8 feb at 22hrs to catch the comedy #Tizibika created by @tozy_b and starring @jeSuis_Amy 
The thread below is a q&a on what the show is about
Feel free to ask more questions!https://twitter.com/Curate_Zed/status/954994362211061760 …",2018-01-21 9:33:14,Curate_Zed
25,0,1,"So, when does #Tizibika air, and what can we expect?",2018-01-21 9:20:11,Curate_Zed
26,5,2,"Hey, i didn't star in it just wrote and produced it. #tizibika is a mokumentary about two slay queens trying to become famous. So one of them 'accidentally' leaks her sex tape and the other is trying to bag herself a famous boyfriend.",2018-01-21 8:32:13,tozy_b
27,4,4,"@tozy_b is the star of a mockumentary show #Tizibika 
Tozya, could you tell us a little about what the show will be about?
#LetsTalkZed",2018-01-21 8:29:37,Curate_Zed
28,1,0,#Tizibika  https://twitter.com/tozy_b/status/954724700927741952 …,2018-01-20 21:54:49,Mtrain187
29,3,0,Watch #Tizibika (I act as suzyo) on @zambezimagictv starting february 8th (on thursday) at 22hrs and  repeats on Friday at 18:30.... #ZambeziMagic #zambia #ZmTizibika #series #zedtwitter,2018-01-20 16:51:12,Kaysibo1
30,7,0,New TV show coming to Zambezi Magic #Tizibika tell somebody to tell somebody pic.twitter.com/Tcf2wBBYpM,2018-01-20 15:45:19,Mister_Entitled
31,10,0,#Tizibika #ZambeziMagic coming soon!pic.twitter.com/G5NqTvVkMk,2018-01-20 15:17:14,kathlyn_47
32,2,0,Been working on a project for #zambezimagic and the D-day is near!!!..am excited #tizibika #aftica #zambia... https://fb.me/1EhlsZEzc ,2018-01-20 14:59:35,Ericmuleproduct
33,18,0,"Going through final edits of #tizibika. I keep pinching myself, i can't believe it's almost time. ",2018-01-30 17:40:44,tozy_b
34,1,0,"Over 1000 views  thanks @Macky2umupondo. Hope you'll be watching.

#tizibika pic.twitter.com/FgQITrR4m3",2018-01-30 14:29:39,tozy_b
