,likes,replies,retweets,text,timestamp,user
0,3,1,2,#Salute my talent/acting agent @chembomusic ... God's favorite is in both these joints #Fever #Tizibika https://twitter.com/chembomusic/status/960617280517353472 …,2018-02-05 21:10:46,ZambiazHarshTag
1,20,0,7,"BTW, #Fever starts tomorrow! I never got to see season one. Gonna be watching all Zambian shows this year. Also #tizibika on the 8th!! #Zambia the more the merrier. ",2018-02-05 20:53:01,chembomusic
2,1,0,1,"Slay queening reloaded,3 more days,Dstv Channel 160. #zmtizibika #tizibika #zambezimagic #dstv… https://www.instagram.com/p/Be0PHQtgU4q/ ",2018-02-05 13:10:42,Ericmuleproduct
3,5,1,5,#tizibika 8th February at 22hrs on @zambezimagictvpic.twitter.com/YtTqHORj7d,2018-02-05 7:33:04,ItatiDzekedzeke
4,15,0,10,#tizibika pic.twitter.com/YStEqqRkq6,2018-02-05 5:55:20,tozy_b
5,5,0,1,8th February at 22hrs on @zambezimagictv #tizibika pic.twitter.com/iAkUpYJo5x,2018-02-04 6:33:31,tozy_b
6,1,0,0,#tizibika do not miss it only on zambezi magic channel 160. 22:00 on the 8th February,2018-02-03 11:24:28,Dollmulenga
7,13,0,4,"#tizibika I'm in love 
Zambian productions really making me proud.",2018-02-14 22:41:18,Talu_starzz
8,2,1,0,We going places.  #Tizibika #eddieTheRapper,2018-02-14 5:56:20,wrsikabuli
9,6,0,2,...S/O to @arushapot for directing #Tizibika !! Another #Zimandola doing great things!,2018-02-13 22:27:26,kryticismusic
10,1,0,0,#Tizibika something giving me another reason to be glued to Zambezi magic.,2018-02-13 20:28:19,khristine_phiri
11,0,1,0,Just watching The First Episode Of #Tizibika ,2018-02-13 20:23:54,TongaPrince
12,0,0,0,"Shes right, rich people dont go to salis, they get people like me to go for them ""vintage"" lovers. #Tizibika",2018-02-13 20:13:27,Yoko3485
13,2,0,1,"#Tizibika  Slay queens, bragging but you just being kept ",2018-02-13 20:11:59,KeithMpuya
14,1,1,0,Why are they showing a repeat of #Tizibika ? Thought today was episode 2?,2018-02-13 20:05:43,HoneyJewel9
15,0,0,1,#Tizibika ,2018-02-13 20:02:25,Im_Ms_Waps
16,18,2,5,"What would you be doing this Thursday night at 22:00 CAT? #ThandieTizibika and #WeziTizibika would love to hang out with you.
So, don't leave the ladies waiting. You know it's time for #Tizibika and you know the channel.
#ZambeziMagic",2018-02-13 14:55:48,zambezimagictv
17,17,2,2,"I really had fun playing 'Eddie the rapper 'on #Tizibika ,I believe more big things are yet to come this year,all I ask for is patience ,big things yet to come ",2018-02-13 13:21:43,Mtrain187
18,0,1,0,How about I watch it on znbc explain when you watch #tizibika on nick jr,2018-02-12 21:55:37,SlimPandaBear
19,3,0,3,#Tizibika https://twitter.com/PRGirlMedia/status/963073020255457280 …,2018-02-12 18:19:19,MaceWimbu
20,3,0,2,Listening to @jeSuis_Amy & @KatongoChiluba on hot fm spreading good vibes #Tizibika,2018-02-12 6:13:26,Komana_MN
21,30,0,5,Such a pleasure working with @KatongoChiluba on #Tizibika #ZambeziMagic  ... she made my job easy #makeup #mua #muaZambiapic.twitter.com/u0P7fk7a8j,2018-02-12 5:47:16,kathlyn_47
22,18,0,3,"Going through final edits of #tizibika. I keep pinching myself, i can't believe it's almost time. ",2018-01-30 17:40:44,tozy_b
23,1,0,0,"Over 1000 views  thanks @Macky2umupondo. Hope you'll be watching.

#tizibika pic.twitter.com/FgQITrR4m3",2018-01-30 14:29:39,tozy_b
24,1,0,0,#tizibika pic.twitter.com/Ka9M6AZlw2,2018-01-30 4:59:37,Dollmulenga
25,0,0,0,Don't miss the drama in #Tizibika on Zambezi magic channel 160. On the 8th of February at 22:00,2018-01-29 17:16:06,Dollmulenga
26,10,0,4,"Learn all about slay queens,8th February,22:00 on #ZambeziMagic Dstv channel 160.. #Tizibika #slayqueening101pic.twitter.com/6c7nFRoDFI",2018-01-29 13:28:29,Ericmuleproduct
27,1,0,2,#Tizibika pic.twitter.com/Gz8JOk9Xkg,2018-01-24 22:01:32,tozy_b
28,4,0,1,Counting down! #Tizibika https://twitter.com/KatongoChiluba/status/955376670374023168 …,2018-01-22 13:00:48,Nobutu1
29,2,0,1,"Something fresh,something new..make a date!!.. 8th February #tizibika https://fb.me/1nG4BYabm ",2018-01-27 8:32:18,Ericmuleproduct
30,9,0,3,Story izibika #tizibika #ZambeziMagic . 8th Februarypic.twitter.com/Q5gjYZcBx6,2018-01-26 18:09:11,tozy_b
31,11,0,3,"My only word is ""Watch""
#Tizibika pic.twitter.com/iNm4qXk5cc",2018-01-26 15:41:04,Darren_Kirec21
32,1,0,1,Are you ready for this? #Tizibika https://fb.me/11bLD490Q ,2018-01-26 12:45:05,GudiiPyne
33,2,0,1,Umuntu kwishibikwa #Tizibika #ZMTizibikapic.twitter.com/n7WVUCIH4y,2018-01-26 12:13:54,kash_talks
34,2,0,1,With #Tizibika,2018-01-25 23:42:05,Dollmulenga
35,2,0,1,"#Tizibika 
I can’t wait!!!
 #DateMyFamilyZambia",2018-01-25 18:13:43,chucky_beau
36,3,2,5,"Fam please like our #Tizibika fan pages on Facebook. Please RT as well.  @jeSuis_Amy Characters page
https://m.facebook.com/Wezi-Tizibika-251903375346888/ …",2018-01-25 4:49:37,arushapot
37,1,0,1,#Tizibika  wezi and thandi you girls are funny people this is a must watch,2018-02-11 18:20:12,Dollmulenga
38,3,1,1," I was watching #Tizibika last Thursday night, chinanibaba i couldn't tweet about it i had no data",2018-02-11 17:50:32,Siadenda3
39,3,0,0,"Incase you missed it,go and catch up.. #Tizibika #ZambeziMagicpic.twitter.com/rRtk4b6S6R",2018-02-11 11:52:11,Ericmuleproduct
40,0,0,0,Awe ise #Tizibika https://fb.me/3AJCsztc3 ,2018-02-11 9:25:36,djloso21
41,2,0,0,#Tizibika imwe Wezi has finished me ,2018-02-10 20:21:12,Muddy_Purple
42,0,1,0,Lol the one being talked about in #tizibika,2018-02-10 17:55:20,kristina_miti
43,1,0,0,I have a full clip. #tizibika,2018-02-10 17:08:59,Ericmuleproduct
44,1,2,0,"I have the link to the sextape,follow me I will share #Tizibika",2018-02-10 17:01:42,Ericmuleproduct
45,10,2,1,"#tizibika was awesome 
Thandie doesn’t talk much though 
Also because it’s a reality show,how haven’t we seen or heard about the sex tape?",2018-02-10 16:19:58,kristina_miti
46,0,0,0,@Tim_Rapper fam did you watch the  #Tizibika premier?,2018-02-10 16:14:42,Mister_Entitled
47,1,1,0,When is the next episode of #Tizibika ????,2018-02-10 15:54:41,Roxy_Hrt
48,0,0,0,#Tizibika,2018-02-10 14:15:40,Situmbeko11
49,5,0,2,#BBNaija meanwhile am thankful and grateful Cee-C is Nigerian! Zambia would have fixed her attitude before she even came to the house! We don't do satanic attitudes abeg! #Tizibika,2018-02-10 12:28:02,ThokoMaryAnne
50,3,0,1,#tizibika  Zambian Masterpiece,2018-02-10 7:44:11,PRINCE_MBOSHYA3
51,0,0,0,Woooow you did? That was awesome #Tizibika https://twitter.com/arushapot/status/961628645939871747 …,2018-02-10 4:47:46,LuanoBwalya
52,17,2,3,"Finally caught up on #Tizibika!

Yassss 
What a clever concept. Witty writing and engaging characters.",2018-02-10 4:45:06,missbwalya
53,0,0,0,"It shows on Zambezi Magic, every thursday at 22... and if you miss that, you can catch it on friday at 21.30 #Tizibika",2018-02-09 21:29:08,MondeSepo
54,4,0,2, Lol. Where do i start from. Ok. In the comedy series #tizibika the storyline is that a sex video was posted and went viral on twitter. The 2 handles I @ are good and hyping. So it made sense that they're the ones who are likely to make it trend.,2018-02-09 20:55:34,Chaingaz
55,1,0,0,Awesome great job ladies #Tizibika,2018-02-09 20:53:33,ChintuViola
56,20,2,1,When you hide the remote from everyone so you can catch #Tizibika  but Mvula ya yamba  pic.twitter.com/Mqit8vClVO,2018-02-09 20:42:41,SlimPandaBear
57,14,2,6,"Just been catching up with #tizibika..definitely setting a reminder for the next episode!yanipanga mweh,hilarious stuff ",2018-02-09 20:24:56,the_xcheqeur
58,6,1,3,@KatongoChiluba  congrats #Tizibika is ,2018-02-09 20:19:13,TheeAjay
59,0,1,0,Is #tizibika on Catch up ai ?,2018-02-09 20:04:20,CChuwi1
60,2,0,0,"Even @marianepembe was hooked,catch #tizibika every Thursday on #dstv #channel160 https://fb.me/3U7NRMyfK ",2018-02-09 20:01:28,Ericmuleproduct
61,4,0,2,"#Tizibika Not bad, just watched the repeat. Awesome stuff",2018-02-09 20:00:39,PerisMwenya
62,3,0,1,"Guys #Tizibika is hilarious.  
There's girls that actually behave like this.",2018-02-09 20:00:10,MwachiElWeirdo
63,5,0,2,Lol I loved it! Bemba is my jam #Tizibika,2018-02-09 19:59:18,Nalukui_peach87
64,3,2,3,Her video clip has gone viral on twitter. Obviously it's courtesy of @Peter_Kays and @Curate_Zed #Tizibika.,2018-02-09 19:57:39,Chaingaz
65,7,0,3,This show is literally everything #tizibika,2018-02-09 19:56:29,Novel_Cee
66,12,1,6,Catching up on this #Tizibika show... who are these girls?? I absolutely love them please!!! This show!! I love it!! ,2018-02-09 19:55:45,Kassy90
67,5,0,1,Just watching #Tizibika now  Zambian shows are booming ,2018-02-09 19:55:26,McD_101
68,6,0,2,This show is actually pretty good #Tizibika,2018-02-09 19:54:37,nyembe101
69,10,0,3,Even @MariaNepembe was hooked.. #Tizibika pic.twitter.com/AjzUIoBBSy,2018-02-09 19:51:08,Ericmuleproduct
70,4,0,0,"#Tizibika is funny consistency please.

",2018-02-09 19:50:43,Symo_X_2pulZ
71,6,0,3,#Tizibika is an amazing ,2018-02-09 19:49:57,MU54M4
72,3,0,1,#tizibika ,2018-02-09 19:47:28,Novel_Cee
73,6,0,4,#tizibika may you live long ,2018-02-09 19:46:46,mulengachibunda
