,likes,replies,retweets,text,timestamp,user
0,14,0,5,"#tizibika I'm in love 
Zambian productions really making me proud.",2018-02-14 22:41:18,Talu_starzz
1,2,1,0,We going places.  #Tizibika #eddieTheRapper,2018-02-14 5:56:20,wrsikabuli
2,6,0,2,...S/O to @arushapot for directing #Tizibika !! Another #Zimandola doing great things!,2018-02-13 22:27:26,kryticismusic
3,1,0,0,#Tizibika something giving me another reason to be glued to Zambezi magic.,2018-02-13 20:28:19,khristine_phiri
4,0,1,0,Just watching The First Episode Of #Tizibika ,2018-02-13 20:23:54,TongaPrince
5,0,0,0,"Shes right, rich people dont go to salis, they get people like me to go for them ""vintage"" lovers. #Tizibika",2018-02-13 20:13:27,Yoko3485
6,2,0,0,"#Tizibika  Slay queens, bragging but you just being kept ",2018-02-13 20:11:59,KeithMpuya
7,1,1,0,Why are they showing a repeat of #Tizibika ? Thought today was episode 2?,2018-02-13 20:05:43,HoneyJewel9
8,0,0,1,#Tizibika ,2018-02-13 20:02:25,Im_Ms_Waps
9,18,2,5,"What would you be doing this Thursday night at 22:00 CAT? #ThandieTizibika and #WeziTizibika would love to hang out with you.
So, don't leave the ladies waiting. You know it's time for #Tizibika and you know the channel.
#ZambeziMagic",2018-02-13 14:55:48,zambezimagictv
10,17,2,2,"I really had fun playing 'Eddie the rapper 'on #Tizibika ,I believe more big things are yet to come this year,all I ask for is patience ,big things yet to come ",2018-02-13 13:21:43,Mtrain187
11,0,1,0,How about I watch it on znbc explain when you watch #tizibika on nick jr,2018-02-12 21:55:37,SlimPandaBear
12,3,0,3,#Tizibika https://twitter.com/PRGirlMedia/status/963073020255457280 …,2018-02-12 18:19:19,MaceWimbu
13,3,0,2,Listening to @jeSuis_Amy & @KatongoChiluba on hot fm spreading good vibes #Tizibika,2018-02-12 6:13:26,Komana_MN
14,30,0,5,Such a pleasure working with @KatongoChiluba on #Tizibika #ZambeziMagic  ... she made my job easy #makeup #mua #muaZambiapic.twitter.com/u0P7fk7a8j,2018-02-12 5:47:16,kathlyn_47
15,3,1,2,#Salute my talent/acting agent @chembomusic ... God's favorite is in both these joints #Fever #Tizibika https://twitter.com/chembomusic/status/960617280517353472 …,2018-02-05 21:10:46,ZambiazHarshTag
16,20,0,7,"BTW, #Fever starts tomorrow! I never got to see season one. Gonna be watching all Zambian shows this year. Also #tizibika on the 8th!! #Zambia the more the merrier. ",2018-02-05 20:53:01,chembomusic
17,1,0,1,"Slay queening reloaded,3 more days,Dstv Channel 160. #zmtizibika #tizibika #zambezimagic #dstv… https://www.instagram.com/p/Be0PHQtgU4q/ ",2018-02-05 13:10:42,Ericmuleproduct
18,5,1,5,#tizibika 8th February at 22hrs on @zambezimagictvpic.twitter.com/YtTqHORj7d,2018-02-05 7:33:04,ItatiDzekedzeke
